"IXP","Date Approved","Action 1 				Prevent","Action 2 				Promote","Action 3 				Protect","Action 4 				Coordinate","Action 5 				Tools"
"Africa Congo Internet eXachange","9th May 2023","1","2-1: Assist (1)","1","1","1"
"Amsterdam Internet Exchange","24th Aug 2018","1","2-1: Assist (1) 																			2-2: Assist (2)","1","1","1"
"Asociación SVNet","17th Sep 2021","1","2-1: Assist (1) 																			2-2: Assist (2) 																			2-3: Promote","0","1","1"
"Association RomandIX","30th Aug 2018","1","2-1: Assist (1) 																			2-2: Assist (2)","1","1","1"
"Asteroid International","24th Aug 2018","1","2-1: Assist (1) 																			2-2: Assist (2) 																			2-3: Promote","1","1","1"
"AuvernIX","8th Oct 2018","1","2-1: Assist (1)","1","1","1"
"Batam Internet Exchange","12th May 2020","1","2-1: Assist (1) 																									2-3: Promote","1","1","1"
"BBIX Hong Kong","2nd Aug 2023","1","2-1: Assist (1) 																									2-3: Promote","0","1","1"
"BBIX Singapore","21st Jun 2023","1","2-1: Assist (1) 																									2-3: Promote","0","1","1"
"BelgiumIX","25th May 2020","1","2-1: Assist (1) 																									2-3: Promote","1","1","0"
"Berlin Commercial Internet Exchange","2nd Sep 2019","1","2-1: Assist (1) 																			2-2: Assist (2) 																			2-3: Promote","1","1","1"
"BFD-IX","7th May 2020","1","2-1: Assist (1)","1","0","1"
"BKNIX","18th Mar 2019","1","2-1: Assist (1) 																			2-2: Assist (2)","1","1","1"
"Borneo-IX","16th Jun 2021","1","2-1: Assist (1)","1","1","1"
"Burkina Faso Internet Exchange Point","28th Jul 2023","1","2-1: Assist (1) 																									2-3: Promote","0","1","1"
"Calgary Internet Exchange","24th Aug 2018","1","2-1: Assist (1)","1","1","1"
"Catalunya Neutral Internet Exchange","23rd Oct 2018","1","2-1: Assist (1) 																			2-2: Assist (2) 																			2-3: Promote","1","1","1"
"CINX","3rd Oct 2023","1","2-1: Assist (1) 																			2-2: Assist (2)","1","1","1"
"CloudSingularity Internet Exchange","12th Jan 2021","1","2-1: Assist (1) 																			2-2: Assist (2) 																			2-3: Promote","1","1","1"
"CLOUDXCHANGE","27th Jun 2023","1","2-1: Assist (1)","1","1","1"
"Community IX Holdings, Inc.","14th Feb 2022","1","2-1: Assist (1) 																									2-3: Promote","1","1","1"
"Consorcio para el Intercambio de Internet A.C. (CITI)","14th Jul 2021","1","2-1: Assist (1) 																			2-2: Assist (2) 																			2-3: Promote","0","1","1"
"DE-CIX ASEAN","14th Jul 2021","1","2-1: Assist (1)","1","1","0"
"DE-CIX Barcelona","16th Jun 2021","1","2-1: Assist (1)","1","1","0"
"DE-CIX Chicago","16th Jun 2021","1","2-1: Assist (1)","1","1","1"
"DE-CIX Dallas","16th Jun 2021","1","2-1: Assist (1)","1","1","1"
"DE-CIX Dusseldorf","16th Jun 2021","1","2-1: Assist (1)","1","1","1"
"DE-CIX Frankfurt","24th Aug 2018","1","2-1: Assist (1)","1","1","1"
"DE-CIX Hamburg","16th Jun 2021","1","2-1: Assist (1)","1","1","1"
"DE-CIX Istanbul","16th Jun 2021","1","2-1: Assist (1)","1","1","1"
"DE-CIX Kuala Lumpur","16th Jun 2021","1","2-1: Assist (1)","1","1","0"
"DE-CIX Leipzig","21st Feb 2023","1","2-1: Assist (1)","1","1","1"
"DE-CIX Lisbon","16th Jun 2021","1","2-1: Assist (1)","1","1","1"
"DE-CIX Madrid","16th Jun 2021","1","2-1: Assist (1)","1","1","1"
"DE-CIX Malaysia","14th Jul 2021","1","2-1: Assist (1)","1","1","0"
"DE-CIX Marseille","16th Jun 2021","1","2-1: Assist (1)","1","1","1"
"DE-CIX Munich","16th Jun 2021","1","2-1: Assist (1)","1","1","1"
"DE-CIX New York","16th Jun 2021","1","2-1: Assist (1)","1","1","1"
"DE-CIX Palermo","16th Jun 2021","1","2-1: Assist (1)","1","1","1"
"DE-CIX Phoenix","7th Apr 2022","1","2-1: Assist (1)","1","1","1"
"DE-CIX Richmond","16th Jun 2021","1","2-1: Assist (1)","1","1","0"
"DE-CIX Singapore","16th Jun 2021","1","2-1: Assist (1)","1","1","0"
"DIGITAL TELECOM-IX, LLC","29th Jul 2019","1","2-3: Promote","1","1","1"
"DINX","3rd Oct 2023","1","2-1: Assist (1) 																			2-2: Assist (2)","1","1","1"
"DOUALA-IX","18th Jan 2022","1","2-1: Assist (1) 																			2-2: Assist (2) 																			2-3: Promote","0","1","1"
"Edge IX Pty Ltd","12th Nov 2019","1","2-1: Assist (1)","1","1","1"
"EDGENxT","6th Sep 2023","1","2-1: Assist (1) 																			2-2: Assist (2) 																			2-3: Promote","1","0","1"
"Equinix","21st Aug 2018","1","2-1: Assist (1)","1","1","1"
"FORMOSA OPEN EXCHANGE","30th Jun 2023","1","2-3: Promote","0","1","1"
"France-IX","27th Aug 2019","1","2-1: Assist (1) 																									2-3: Promote","1","1","1"
"Government of Latvia Internet Exchange","21st Mar 2022","1","2-1: Assist (1) 																			2-2: Assist (2) 																			2-3: Promote","1","1","1"
"Great Plains Connect","21st Mar 2023","1","2-3: Promote","1","1","1"
"Greek Internet Exchange","24th Aug 2018","1","2-1: Assist (1)","1","1","1"
"Grenoble Internet eXchange Point","24th Aug 2018","1","2-1: Assist (1) 																			2-2: Assist (2) 																			2-3: Promote","1","1","1"
"Hong Kong Internet Exchange","23rd Sep 2020","1","2-3: Promote","1","1","1"
"India Internet Foundation","9th Apr 2021","1","2-1: Assist (1) 																			2-2: Assist (2)","1","1","0"
"InteRed Panamá","10th May 2021","1","2-1: Assist (1) 																			2-2: Assist (2) 																			2-3: Promote","1","1","1"
