"Organization Name","Date Approved","AreasServed","ASNs","Action 1Filtering","Action 2Anti-Spoofing","Action 3Coordination","Action 4Routing Information 				 					IRR 					RPKI"
".pt","15th Oct 2018","PT","199993","1","No data","100%","100% 							 							 								100%"
"10110770 Manitoba O/A Vulpine Networks","19th Jun 2022","CA, US","400442","1","0","100%","100% 							 							 								100%"
"2012 Limited","26th Apr 2023","HK","4658","1","0","100%","100% 							 							 								94%"
"3WACCES","31st Mar 2020","BR","269053","1","49%","100%","100% 							 							 								100%"
"76 Telecom Telecomunicações Ltda","7th Jul 2020","BR","262760, 262363","1","0","50%","100% 							 							 								0%"
"84 Grams AB","29th Dec 2020","SE","57630","1","0","100%","100% 							 							 								100%"
"A B DA SILVA MULTIMIDIA - ME","7th Jul 2020","BR","270370","1","0","100%","100% 							 							 								0%"
"A1 Bulgaria Ltd.","16th Jun 2023","BG","8717, 12716, 29580, 35141, 13124, 8672","1","0","100%","100% 							 							 								97%"
"AARNet Pty Ltd","25th Aug 2018","AU","7575","1","No data","100%","100% 							 							 								26%"
"ABACLOUDA","22nd Sep 2023","FR","56987","1","0","100%","100% 							 							 								100%"
"ABASE Telecom","11th Dec 2019","BR","22431","1","No data","100%","100% 							 							 								100%"
"Access and Content Ltd","22nd Nov 2022","NG","328825","1","0","100%","0"
"Accessworld","11th Jul 2023","NP","59370","1","100%","100%","100% 							 							 								100%"
"Accuris Technologies Ltd.","27th Mar 2023","CA, US","52210, 212934, 49975","1","100%","100%","100% 							 							 								100%"
"Acesso Net Fibra","22nd Nov 2022","BR","266453","1","0","100%","0"
"Acesso.net","21st Mar 2022","BR","53236","1","0","100%","100% 							 							 								100%"
"ACESSOLINE TELECOMUNICACOES LTD","26th Apr 2023","BR","262391","1","0","100%","100% 							 							 								72%"
"ACOnet","2nd Jul 2019","AT","1853","1","0","100%","100% 							 							 								0%"
"ACORN-NL (Atlantic Canada Organization of Research Networks, Newfoundland and Labrador)","15th Jan 2021","CA","10972","1","0","100%","100% 							 							 								100%"
"ACORN-NS","7th Apr 2021","CA","8111","1","No data","100%","100% 							 							 								55%"
"Adam","25th Aug 2018","ES","15699","1","100%","100%","100% 							 							 								59%"
"ADLLINK TELECOM PROVEDOR DE INTERNET LTDA - ME","18th Jun 2021","BR","28264","1","No data","100%","100% 							 							 								100%"
"ADSNET TELECOM","26th Apr 2023","BR","262977","1","0","100%","100% 							 							 								0%"
"AdylNET","9th Oct 2020","BR","28283","1","No data","100%","100% 							 							 								75%"
"AFRINIC","14th Feb 2022","MU","33764, 37177, 37181, 37301","1","0","100%","100% 							 							 								97%"
"AfriQ Network Solutions Ltd","14th Aug 2023","KE","328475","1","0","100%","100% 							 							 								100%"
"Agency ARNIEC - RoEduNet","16th Feb 2021","RO","2614","1","No data","100%","99% 							 							 								10%"
"Agile Solutions Provider","1st Feb 2021","ZA","328748","1","No data","100%","100% 							 							 								75%"
"AIRNET S.R.L.S.","28th Jul 2021","IT","209301","1","0","100%","100% 							 							 								100%"
"Airs Project Private Network","26th Jan 2023","CN,  HK,  JP,  US,  EU","142553","1","0","100%","100% 							 							 								100%"
"Airtek Solutions C.A","26th Apr 2023","VE","61461","1","0","100%","100% 							 							 								72%"
"AlagoinhasTelecom","5th Sep 2022","BR","268349","1","100%","100%","100% 							 							 								100%"
"Alaska Communications","6th Apr 2020","US","7782","1","0","100%","100% 							 							 								58%"
"Alfa Service","7th Apr 2021","IT","209102","1","No data","100%","100% 							 							 								100%"
"Algar Telecom","25th Aug 2018","BR","16735, 53006, 27664","1","0","50%","98% 							 							 								0%"
"All Points Broadband","25th Apr 2023","US","18786, 393713","1","0","100%","100% 							 							 								91%"
"Alt Telecom","10th Jul 2019","CA, US","21659","1","0","100%","100% 							 							 								67%"
"Alternativa Internet","11th Nov 2022","BR","264459","1","0","100%","100% 							 							 								0%"
"Altibox","25th Aug 2018","NO","29695","1","100%","100%","100% 							 							 								28%"
"Amazontel Telecomunicações","4th May 2020","BR","61577","1","0","100%","100% 							 							 								0%"
"AMPATH","31st Dec 2021","US","20080","1","100%","100%","100% 							 							 								57%"
"Amsio BV","20th Nov 2018","NL","8315","1","No data","100%","100% 							 							 								70%"
"Andorra Telecom","25th Feb 2019","AD","6752","1","No data","100%","96% 							 							 								100%"
"andrewnet","28th Oct 2022","US","1003","1","No data","100%","100% 							 							 								44%"
"andrewnet, llc","1st Mar 2022","US","211562","1","No data","100%","100% 							 							 								100%"
"Anexia","17th Dec 2019","AE, AR, AT, AU, BG, BR, CA, CH, CL, CN, CO, CZ, DE, DK, ES, FI, FR, GB, HK, HU, IE, IL, IN, IT, JP, KR, LU, MX, NL, NO, NZ, PE, PH, PL, PT, RO, RS, RU, SE, SG, SI, SK, TH, TR, TW, UA, US, VN, ZA","42473, 42388, 197540, 42360, 47147","1","49%","100%","100% 							 							 								74%"
"Antel","25th Jun 2019","AR, BR, US, UY","6057","1","No data","100%","100% 							 							 								100%"
"Anura","25th Aug 2018","AR","52275","1","No data","100%","0"
"Anycast.io","25th Aug 2018","DE, NL, GB","34868","1","1","1","1"
"APAN-JP","30th Oct 2018","HK, JP, SG, TH, US","7660","1","0","100%","100% 							 							 								100%"
"APNIC","10th Apr 2020","AU, JP","4608, 4777","1","No data","100%","100% 							 							 								100%"
"Ar telecom","18th Dec 2019","BR","28154","1","0","100%","100% 							 							 								100%"
"Ar Telecom","16th Apr 2020","PT","12926","1","No data","100%","100% 							 							 								100%"
"Arantes e Arantes Telecom LTDA -ME","19th Dec 2019","BR","267523","1","No data","100%","100% 							 							 								0%"
"Araçagynet","26th Jan 2023","BR","271175","1","No data","100%","100% 							 							 								0%"
"Arelion","10th Sep 2018","EU, US","1299","1","No data","100%","96% 							 							 								13%"
"Armstrong","19th Jun 2022","US","27364","1","0","100%","100% 							 							 								94%"
"Arrownet Pvt. Ltd","13th Oct 2020","NP","63991","1","0","100%","0"
"Artfiles GmbH","23rd Mar 2021","DE","8893","1","100%","100%","100% 							 							 								100%"
"Arvig Enterprises Inc.","26th Jun 2023","US","16904","1","0","100%","100% 							 							 								76%"
"AS200242 Ltd.","5th May 2023","CA, DE, NL, US","200242","1","0","100%","100% 							 							 								100%"
"AS207960 Cyfyngedig","29th May 2020","GB","207960","1","No data","100%","100% 							 							 								100%"
"AS212635","22nd Mar 2022","NL","212635","1","No data","100%","100% 							 							 								100%"
"AS213045","29th Nov 2022","AU, BE, DE, EU, FR, NL, US","213045","1","0","100%","100% 							 							 								86%"
"AS213151","14th Dec 2020","EU","213151","1","100%","100%","100% 							 							 								100%"
"AS2613","25th Aug 2018","CH","2613","1","No data","100%","100% 							 							 								100%"
"AS59645","26th Apr 2023","EU","59645","1","0","100%","100% 							 							 								100%"
"AS62075","13th Nov 2018","EU, DE","62075","1","0","100%","100% 							 							 								88%"
"ASDASD srel","18th Apr 2019","IT","28929","1","No data","100%","100% 							 							 								100%"
"Asiatech Co.","10th Jul 2019","IR","43754","1","0","100%","100% 							 							 								34%"
"Asociación Regional De Cooperativa de Servicios Públicos","16th Dec 2020","AR","52428","1","100%","100%","100% 							 							 								100%"
